Problem,Session,Loop_Stage,Method,Parameters,Accuracy,F1_Score,AUC,Recall,Time,Timestamp
Titanic,1,Initial,MLP,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.0005, 'max_epochs': 200, 'batch_size': 16, 'optimizer': 'adam', 'validation_split': 0.2, 'early_stopping_patience': 20, 'random_state': 404}",0.7611940298507462,0.6521739130434783,0.8072289156626506,0.5882352941176471,2.042837142944336,2026-02-06T20:11:35.977532
Titanic,1,Feedback,MLP,"{'hidden_layers': [64, 32], 'activation': 'relu', 'learning_rate': 0.001, 'max_epochs': 300, 'batch_size': 32, 'optimizer': 'adam', 'validation_split': 0.2, 'early_stopping_patience': 20, 'random_state': 404}",0.8059701492537313,0.7045454545454546,0.7999055043704228,0.6078431372549019,0.856809139251709,2026-02-06T20:12:04.766962
Titanic,2,Initial,MLP,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.001, 'max_epochs': 200, 'batch_size': 16, 'optimizer': 'adam', 'validation_split': 0.2, 'early_stopping_patience': 20, 'random_state': 404}",0.7835820895522388,0.7010309278350515,0.817859673990078,0.6666666666666666,1.380661964416504,2026-02-06T20:12:28.946937
Titanic,2,Feedback,MLP,"{'hidden_layers': [64, 32], 'activation': 'relu', 'learning_rate': 0.0005, 'max_epochs': 250, 'batch_size': 32, 'optimizer': 'adam', 'validation_split': 0.2, 'early_stopping_patience': 20, 'random_state': 404}",0.7910447761194029,0.6956521739130435,0.8249468462083629,0.6274509803921569,0.6761510372161865,2026-02-06T20:12:54.150409
Titanic,3,Initial,MLP,"{'hidden_layers': [32], 'activation': 'relu', 'learning_rate': 0.0005, 'max_epochs': 200, 'batch_size': 16, 'optimizer': 'adam', 'validation_split': 0.2, 'early_stopping_patience': 20, 'random_state': 404}",0.7910447761194029,0.6888888888888889,0.815024805102764,0.6078431372549019,1.8199589252471924,2026-02-06T20:13:04.815223
Titanic,3,Feedback,MLP,"{'hidden_layers': [64, 32], 'activation': 'relu', 'learning_rate': 0.001, 'max_epochs': 250, 'batch_size': 32, 'optimizer': 'adam', 'validation_split': 0.2, 'early_stopping_patience': 20, 'random_state': 404}",0.8208955223880597,0.7272727272727273,0.8124261752893929,0.6274509803921569,0.4995698928833008,2026-02-06T20:13:36.060046
